id_pago,id_reserva,monto,metodo_pago,fecha_pago,estado
1,1,84.86,Tarjeta,24/08/2024,Pendiente
2,2,240.52,Tarjeta,26/03/2025,Pendiente
3,3,199.59,Tarjeta,19/12/2024,Pendiente
4,4,231.27,Tarjeta,24/07/2024,Pendiente
5,5,137.11,Transferencia,02/11/2024,Pendiente
6,6,131.53,Tarjeta,24/11/2024,Pendiente
7,7,163.35,Efectivo,31/07/2024,Pendiente
8,8,139.72,Tarjeta,18/03/2025,Pendiente
9,9,196.84,Tarjeta,25/03/2025,Pendiente
10,10,248.17,Tarjeta,26/02/2025,Pendiente
11,11,161.57,Tarjeta,12/12/2024,Pendiente
12,12,176.66,Tarjeta,16/07/2024,Pagado
13,13,50.1,Tarjeta,25/03/2025,Pendiente
14,14,170.64,Tarjeta,02/04/2025,Pendiente
15,15,64.53,Efectivo,05/05/2025,Pendiente
16,16,204.54,Tarjeta,31/10/2024,Pendiente
17,17,33.78,Tarjeta,15/08/2024,Pendiente
18,18,111.73,Tarjeta,04/12/2024,Pendiente
19,19,196.38,Efectivo,09/07/2024,Pendiente
20,20,61.05,Efectivo,24/12/2024,Pendiente
21,21,57.64,Efectivo,15/03/2025,Pendiente
22,22,165.27,Tarjeta,05/12/2024,Pendiente
23,23,98.01,Tarjeta,07/02/2025,Pendiente
24,24,204.7,Efectivo,25/10/2024,Pendiente
25,25,128.11,Efectivo,10/08/2024,Pendiente
26,26,209.09,Efectivo,05/10/2024,Pendiente
27,27,156.21,Efectivo,28/03/2025,Pendiente
28,28,64.87,Tarjeta,07/10/2024,Pendiente
29,29,227.13,Efectivo,07/11/2024,Pendiente
30,30,201.47,Efectivo,18/08/2024,Pendiente
31,31,84.22,Tarjeta,15/02/2025,Pagado
32,32,53.83,Efectivo,05/02/2025,Pagado
33,33,172.73,Tarjeta,04/08/2024,Pagado
34,34,217.53,Tarjeta,09/01/2025,Pendiente
35,35,164.29,Tarjeta,31/08/2024,Pendiente
36,36,201.57,Tarjeta,07/11/2024,Pagado
37,37,151.14,Tarjeta,28/10/2024,Pagado
38,38,170.99,Tarjeta,03/12/2024,Pendiente
39,39,105.8,Tarjeta,13/05/2025,Pendiente
40,40,241.99,Tarjeta,15/10/2024,Pendiente
41,41,229.84,Efectivo,04/01/2025,Pendiente
42,42,210.6,Tarjeta,16/08/2024,Pendiente
43,43,32.16,Tarjeta,19/09/2024,Pendiente
44,44,195.53,Efectivo,15/02/2025,Pendiente
45,45,217.77,Tarjeta,04/10/2024,Pendiente
46,46,63.07,Tarjeta,14/12/2024,Pendiente
47,47,76.66,Tarjeta,03/10/2024,Pendiente
48,48,162.09,Efectivo,20/04/2025,Pendiente
49,49,162.57,Tarjeta,20/03/2025,Pendiente
50,50,154.21,Tarjeta,23/11/2024,Pendiente
51,51,195.36,Tarjeta,11/10/2024,Pendiente
52,52,35.61,Tarjeta,08/02/2025,Pendiente
53,53,235.0,Tarjeta,22/10/2024,Pendiente
54,54,155.35,Tarjeta,23/08/2024,Pendiente
55,55,220.72,Tarjeta,09/04/2025,Pendiente
56,56,53.24,Tarjeta,31/08/2024,Pendiente
57,57,248.0,Efectivo,29/01/2025,Pendiente
58,58,187.16,Tarjeta,28/02/2025,Pendiente
59,59,175.39,Tarjeta,10/02/2025,Pendiente
60,60,109.66,Tarjeta,24/03/2025,Pendiente
61,61,39.05,Efectivo,21/12/2024,Pendiente
62,62,203.65,Tarjeta,05/04/2025,Pendiente
63,63,225.03,Tarjeta,15/12/2024,Pendiente
64,64,246.85,Tarjeta,29/10/2024,Pendiente
65,65,70.48,Transferencia,05/02/2025,Pendiente
66,66,135.2,Tarjeta,03/01/2025,Pendiente
67,67,174.05,Tarjeta,13/07/2024,Pendiente
68,68,90.18,Tarjeta,23/10/2024,Pendiente
69,69,164.15,Tarjeta,16/01/2025,Pendiente
70,70,175.27,Tarjeta,31/10/2024,Pendiente
71,71,195.32,Tarjeta,14/01/2025,Pendiente
72,72,55.11,Tarjeta,18/01/2025,Pendiente
73,73,58.8,Tarjeta,12/11/2024,Pendiente
74,74,51.37,Tarjeta,09/05/2025,Pendiente
75,75,87.59,Tarjeta,11/03/2025,Pendiente
76,76,248.92,Tarjeta,22/08/2024,Pendiente
77,77,73.41,Tarjeta,02/05/2025,Pendiente
78,78,177.07,Tarjeta,27/10/2024,Pendiente
79,79,202.13,Tarjeta,11/05/2025,Pendiente
80,80,127.57,Tarjeta,31/07/2024,Pagado
81,81,210.76,Efectivo,24/11/2024,Pendiente
82,82,224.27,Tarjeta,31/12/2024,Pendiente
83,83,170.43,Tarjeta,15/03/2025,Pendiente
84,84,241.59,Tarjeta,08/12/2024,Pendiente
85,85,127.7,Tarjeta,21/01/2025,Pendiente
86,86,65.81,Tarjeta,06/05/2025,Pendiente
87,87,224.61,Tarjeta,02/03/2025,Pendiente
88,88,175.9,Efectivo,26/03/2025,Pendiente
89,89,215.14,Tarjeta,06/10/2024,Pendiente
90,90,180.34,Efectivo,11/12/2024,Pendiente
91,91,211.45,Tarjeta,02/08/2024,Pendiente
92,92,123.98,Tarjeta,11/07/2024,Pendiente
93,93,174.87,Tarjeta,26/02/2025,Pendiente
94,94,114.99,Tarjeta,19/02/2025,Pendiente
95,95,97.46,Efectivo,09/05/2025,Pendiente
