id_reserva,id_huesped,id_habitacion,fecha_entrada,fecha_salida,estado,fecha_reserva,num_personas
1,1,1,18/05/2024,29/05/2024,Candelada,24/04/2024,4
2,2,2,11/09/2024,22/09/2024,Activa,28/08/2024,2
3,3,3,12/02/2024,14/02/2024,Finalizada,02/02/2024,4
4,4,4,26/02/2025,04/03/2025,Finalizada,18/02/2025,1
5,5,5,24/02/2025,07/03/2025,Finalizada,11/02/2025,1
6,6,6,04/07/2024,10/07/2024,Activa,18/06/2024,1
7,7,7,03/11/2024,06/11/2024,Finalizada,19/10/2024,3
8,8,8,12/04/2024,19/04/2024,Finalizada,01/04/2024,2
9,9,9,24/07/2024,01/08/2024,Candelada,15/07/2024,2
10,10,10,29/01/2024,02/02/2024,Candelada,29/12/2023,3
11,11,11,17/04/2024,22/04/2024,Finalizada,11/04/2024,3
12,12,12,28/08/2024,03/09/2024,Activa,29/07/2024,1
13,13,13,27/12/2024,06/01/2025,Finalizada,27/11/2024,3
14,14,14,04/02/2025,14/02/2025,Activa,08/01/2025,3
15,15,15,17/11/2024,26/11/2024,Finalizada,12/11/2024,3
16,16,16,23/05/2024,01/06/2024,Activa,26/04/2024,2
17,17,17,16/02/2025,23/02/2025,Candelada,23/01/2025,2
18,18,18,24/11/2024,27/11/2024,Activa,02/11/2024,4
19,19,19,28/09/2024,09/10/2024,Activa,09/09/2024,2
20,20,20,24/09/2024,02/10/2024,Candelada,01/09/2024,1
21,21,21,10/01/2025,15/01/2025,Finalizada,13/12/2024,1
22,22,22,06/03/2025,16/03/2025,Activa,19/02/2025,4
23,23,23,19/08/2024,30/08/2024,Candelada,30/07/2024,2
24,24,24,04/10/2024,10/10/2024,Activa,08/09/2024,4
25,25,25,15/05/2024,20/05/2024,Finalizada,01/05/2024,3
26,26,26,28/05/2024,02/06/2024,Activa,02/05/2024,4
27,27,27,04/06/2024,11/06/2024,Candelada,11/05/2024,4
28,28,28,07/12/2024,11/12/2024,Candelada,14/11/2024,3
29,29,29,24/09/2024,27/09/2024,Finalizada,02/09/2024,3
30,30,30,04/08/2024,15/08/2024,Finalizada,05/07/2024,4
31,31,31,02/05/2024,05/05/2024,Activa,15/04/2024,1
32,32,32,19/04/2024,21/04/2024,Finalizada,31/03/2024,2
33,33,33,14/03/2024,21/03/2024,Activa,28/02/2024,4
34,34,34,26/04/2024,03/05/2024,Finalizada,09/04/2024,1
35,35,35,18/03/2024,28/03/2024,Activa,21/02/2024,2
36,36,36,22/08/2024,24/08/2024,Candelada,23/07/2024,2
37,37,37,08/12/2024,10/12/2024,Finalizada,07/11/2024,1
38,38,38,31/03/2025,02/04/2025,Candelada,26/03/2025,4
39,39,39,09/01/2025,15/01/2025,Candelada,23/12/2024,4
40,40,40,26/05/2024,29/05/2024,Candelada,02/05/2024,1
41,41,41,27/03/2025,07/04/2025,Activa,09/03/2025,3
42,42,42,19/04/2024,28/04/2024,Finalizada,09/04/2024,4
43,43,43,29/02/2024,06/03/2024,Candelada,09/02/2024,3
44,44,44,14/08/2024,20/08/2024,Finalizada,04/08/2024,3
45,45,45,11/07/2024,17/07/2024,Activa,22/06/2024,4
46,46,46,12/04/2024,20/04/2024,Activa,17/03/2024,3
47,47,47,24/05/2024,27/05/2024,Activa,13/05/2024,1
48,48,48,29/06/2024,09/07/2024,Activa,11/06/2024,1
49,49,49,14/10/2024,18/10/2024,Candelada,24/09/2024,2
50,50,50,07/10/2024,09/10/2024,Candelada,25/09/2024,2
51,51,51,29/02/2024,09/03/2024,Candelada,29/01/2024,3
52,52,52,27/09/2024,01/10/2024,Activa,22/09/2024,3
53,53,53,27/08/2024,02/09/2024,Activa,21/08/2024,2
54,54,54,17/11/2024,20/11/2024,Activa,05/11/2024,1
55,55,55,21/05/2024,24/05/2024,Finalizada,12/05/2024,4
56,56,56,22/04/2024,28/04/2024,Finalizada,29/03/2024,3
57,57,57,26/02/2024,01/03/2024,Finalizada,30/01/2024,1
58,58,58,21/01/2024,29/01/2024,Candelada,11/01/2024,2
59,59,59,15/02/2025,22/02/2025,Candelada,23/01/2025,4
60,60,60,15/09/2024,23/09/2024,Activa,16/08/2024,3
61,61,61,08/01/2025,18/01/2025,Activa,27/12/2024,3
62,62,62,16/08/2024,27/08/2024,Activa,22/07/2024,3
63,63,63,13/09/2024,16/09/2024,Activa,28/08/2024,4
64,64,64,21/03/2025,01/04/2025,Candelada,28/02/2025,2
65,65,65,02/11/2024,06/11/2024,Activa,02/10/2024,4
66,66,66,25/09/2024,27/09/2024,Finalizada,18/09/2024,2
67,67,67,01/03/2025,07/03/2025,Activa,11/02/2025,3
68,68,68,22/01/2024,27/01/2024,Activa,26/12/2023,2
69,69,69,14/05/2024,21/05/2024,Activa,24/04/2024,3
70,70,70,03/06/2024,11/06/2024,Candelada,09/05/2024,4
71,71,71,03/08/2024,13/08/2024,Finalizada,07/07/2024,2
72,72,72,29/01/2024,05/02/2024,Finalizada,17/01/2024,3
73,73,73,13/11/2024,23/11/2024,Activa,22/10/2024,4
74,74,74,11/06/2024,16/06/2024,Finalizada,24/05/2024,2
75,75,75,27/06/2024,03/07/2024,Candelada,30/05/2024,3
76,76,76,26/02/2024,08/03/2024,Candelada,01/02/2024,1
77,77,77,16/03/2025,27/03/2025,Finalizada,16/02/2025,3
78,78,78,27/09/2024,07/10/2024,Candelada,31/08/2024,4
79,79,79,26/06/2024,07/07/2024,Activa,30/05/2024,3
80,80,80,03/11/2024,09/11/2024,Finalizada,05/10/2024,4
81,81,81,02/02/2024,05/02/2024,Finalizada,14/01/2024,2
82,82,82,11/10/2024,22/10/2024,Finalizada,21/09/2024,2
83,83,83,18/03/2024,20/03/2024,Activa,16/02/2024,2
84,84,84,26/09/2024,07/10/2024,Activa,02/09/2024,2
85,85,85,03/11/2024,07/11/2024,Finalizada,08/10/2024,1
86,86,86,29/03/2024,01/04/2024,Candelada,23/03/2024,1
87,87,87,14/12/2024,20/12/2024,Candelada,19/11/2024,3
88,88,88,08/09/2024,12/09/2024,Activa,27/08/2024,3
89,89,89,24/03/2024,26/03/2024,Candelada,03/03/2024,4
90,90,90,16/05/2024,27/05/2024,Finalizada,06/05/2024,2
91,91,91,03/08/2024,11/08/2024,Finalizada,15/07/2024,2
92,92,92,20/11/2024,29/11/2024,Finalizada,20/10/2024,2
93,93,93,27/09/2024,30/09/2024,Finalizada,22/09/2024,1
94,94,94,23/01/2025,25/01/2025,Candelada,06/01/2025,4
95,95,95,16/08/2024,26/08/2024,Candelada,27/07/2024,2
96,96,96,21/01/2024,31/01/2024,Candelada,08/01/2024,4
97,97,97,05/02/2024,12/02/2024,Activa,17/01/2024,4
98,98,98,01/06/2024,09/06/2024,Candelada,16/05/2024,1
99,99,99,09/02/2025,15/02/2025,Finalizada,27/01/2025,2
100,100,100,18/11/2024,23/11/2024,Activa,24/10/2024,2
